     epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.018392,            0.046389,                   0,             0.87487,             0.90573,             0.93815,             0.71072,             0.01407,            0.027647,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018166,            0.044923,                   0,             0.89151,             0.89464,             0.93706,             0.71132,            0.014733,            0.027759,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.01814,            0.046915,                   0,             0.91151,             0.87581,             0.94314,             0.69732,            0.014819,            0.028388,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018178,            0.045873,                   0,             0.91755,             0.86392,              0.9446,             0.73055,            0.014099,            0.027658,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.018406,            0.045628,                   0,             0.92365,             0.86137,             0.92973,             0.70754,             0.01359,            0.029082,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.01697,             0.04435,                   0,              0.8984,             0.89464,             0.93766,             0.69945,            0.014805,            0.028358,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.017892,            0.045815,                   0,             0.85887,             0.91312,             0.93862,             0.72641,            0.014151,             0.02683,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.018373,            0.045013,                   0,             0.93189,             0.86506,             0.93934,              0.7018,             0.01556,            0.027627,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.017203,            0.045336,                   0,             0.90576,             0.86876,             0.93987,             0.70741,            0.014624,            0.028113,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017326,            0.044749,                   0,             0.91752,             0.87061,             0.94578,              0.7246,             0.01325,            0.027562,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017386,            0.045305,                   0,              0.8994,             0.89236,             0.94026,             0.72133,            0.013674,            0.027006,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017693,            0.044889,                   0,             0.93065,             0.88725,             0.95351,             0.74468,            0.012987,            0.026802,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.01721,             0.04475,                   0,             0.87929,             0.90388,             0.94019,             0.73008,            0.013283,            0.025927,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.017284,            0.043101,                   0,             0.92419,             0.87884,             0.94228,             0.68832,            0.014901,            0.027569,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.016364,            0.045506,                   0,             0.92638,             0.86057,             0.93317,             0.71286,            0.014054,             0.02869,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.016457,            0.044436,                   0,             0.92525,             0.86946,             0.92919,             0.72838,            0.013564,            0.029274,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.01709,            0.044498,                   0,             0.91998,             0.87127,             0.94202,              0.7382,            0.013561,            0.027435,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.016292,            0.044351,                   0,             0.90758,             0.85315,             0.92644,             0.72182,            0.013412,            0.028418,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016157,            0.044586,                   0,             0.91472,             0.89216,             0.95221,             0.75881,            0.012845,            0.026405,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.017729,            0.046774,                   0,             0.90677,             0.91497,             0.95662,             0.74664,            0.012903,            0.025581,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.017455,            0.044042,                   0,             0.92629,             0.88355,             0.94413,             0.71468,            0.014108,            0.026571,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.017754,            0.045989,                   0,             0.89199,              0.8817,             0.92969,             0.71262,            0.013787,            0.027367,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.016533,            0.042914,                   0,             0.90777,             0.89151,             0.94902,             0.73638,            0.013578,            0.026637,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016691,            0.044862,                   0,             0.92376,             0.87348,             0.94876,             0.74089,            0.013043,            0.026168,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.015725,            0.042728,                   0,             0.91455,               0.878,             0.94985,             0.74607,            0.012947,            0.026614,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.015875,            0.040936,                   0,             0.93506,             0.85213,             0.94751,             0.75829,            0.012575,            0.025904,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.015421,            0.043536,                   0,             0.93369,             0.85028,             0.92751,             0.71452,            0.014447,            0.028839,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.016848,            0.042794,                   0,              0.9268,             0.88939,             0.94337,             0.73866,            0.013035,            0.025885,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.016341,            0.044709,                   0,             0.91403,             0.88439,             0.94445,             0.70202,            0.014192,            0.026397,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.016337,            0.041601,                   0,             0.92013,             0.87246,             0.93811,             0.72169,            0.013017,            0.026661,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016349,            0.044375,                   0,             0.90135,             0.91312,             0.94887,             0.74408,            0.012527,            0.025594,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.017081,            0.042506,                   0,             0.90856,             0.89999,             0.95028,             0.74394,            0.013204,            0.025932,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.016532,            0.047459,                   0,             0.89874,             0.90943,             0.95253,             0.73291,            0.013211,            0.025714,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.016497,            0.041445,                   0,             0.92243,              0.8817,             0.94252,             0.75424,            0.012175,            0.026053,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.015524,            0.041657,                   0,             0.94424,             0.87636,             0.94751,             0.74846,            0.012704,            0.026263,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015861,            0.044573,                   0,             0.91553,              0.8854,             0.94351,              0.7291,            0.014054,            0.025799,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.015742,            0.040478,                   0,              0.8967,             0.88249,             0.94355,             0.74255,             0.01261,            0.026008,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.015958,            0.041225,                   0,              0.9072,             0.89649,             0.95045,             0.73766,             0.01303,            0.026388,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.015461,            0.041538,                   0,             0.87587,              0.8817,             0.93366,             0.74363,            0.012663,            0.027585,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.016191,            0.043593,                   0,             0.91014,             0.89868,             0.95049,             0.74673,            0.012561,            0.025994,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.015992,            0.045257,                   0,             0.91889,             0.90051,             0.95057,             0.74552,            0.013382,            0.025084,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.015217,            0.043128,                   0,             0.92029,             0.91767,             0.95268,             0.73227,            0.013559,            0.024986,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.015165,            0.040186,                   0,             0.91846,             0.91609,              0.9548,             0.75962,            0.012168,            0.024744,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.014633,            0.039809,                   0,             0.91708,             0.89949,             0.94534,             0.74253,             0.01317,            0.027794,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.015841,            0.039776,                   0,             0.91792,             0.90573,             0.94878,             0.76476,            0.012135,             0.02499,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.01506,             0.04333,                   0,             0.91085,             0.88758,             0.94344,             0.73951,            0.012925,            0.026249,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.015167,            0.038939,                   0,             0.89993,             0.89649,             0.93937,             0.73752,            0.012336,            0.025803,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.015977,            0.039589,                   0,              0.9207,             0.89834,             0.95131,             0.75057,            0.011985,            0.024944,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.014838,            0.042643,                   0,             0.92273,             0.90496,             0.95361,             0.77148,            0.011437,            0.025124,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.014823,            0.039956,                   0,             0.93098,             0.87261,             0.93185,             0.72998,             0.01336,            0.028273,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.013822,            0.039749,                   0,             0.91371,             0.88077,             0.94102,             0.75259,            0.012118,            0.025875,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.015412,            0.041934,                   0,             0.91551,             0.88123,             0.94076,              0.7686,            0.012113,            0.027655,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.015658,            0.041782,                   0,              0.9271,             0.89332,             0.95426,             0.76619,            0.011761,            0.024247,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.014197,            0.038216,                   0,              0.9097,             0.89094,             0.95348,             0.77103,            0.011647,            0.024523,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.015392,            0.041255,                   0,             0.93259,             0.86943,             0.95064,              0.7683,            0.011389,            0.025483,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.01435,            0.039407,                   0,             0.90524,             0.88293,              0.9461,              0.7634,            0.011766,            0.025215,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.014498,            0.042079,                   0,             0.88868,             0.90758,             0.94983,              0.7722,            0.011389,            0.025461,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.014565,            0.040065,                   0,             0.91714,             0.88909,             0.95098,             0.76872,            0.011347,            0.025207,                   0,             0.00571,             0.00571,             0.00571
