 epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.019603,            0.048444,                   0,             0.92706,             0.85213,             0.94043,             0.67899,            0.015127,            0.029125,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.01878,            0.047151,                   0,             0.88207,             0.88481,             0.93054,             0.64313,            0.016864,            0.030754,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.01913,            0.048521,                   0,             0.90623,             0.88355,             0.93739,             0.70267,            0.014459,             0.02942,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.018774,            0.047486,                   0,             0.93835,             0.87221,             0.94328,             0.69014,            0.015467,            0.029143,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.018414,            0.048258,                   0,             0.94166,             0.83537,             0.92683,             0.66321,            0.015804,            0.030824,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.019064,            0.047307,                   0,             0.90912,             0.86906,             0.93628,              0.6973,            0.014831,            0.029689,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.01877,            0.048759,                   0,             0.91379,             0.88725,             0.94299,             0.69742,            0.014798,            0.028184,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.019297,            0.047725,                   0,             0.92847,             0.86369,             0.93426,             0.71352,            0.014393,            0.030918,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.018797,            0.047701,                   0,             0.88761,             0.87586,             0.93195,             0.70377,            0.014311,            0.028642,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.01797,            0.046411,                   0,             0.91472,             0.89279,             0.94607,             0.68133,            0.015302,            0.028255,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.017033,            0.048081,                   0,             0.93842,             0.86322,             0.94386,             0.70376,            0.014928,            0.028039,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.018541,            0.046837,                   0,             0.93809,             0.87061,             0.94328,             0.71768,            0.014012,             0.02879,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.018343,            0.046986,                   0,             0.94365,             0.85582,             0.92836,             0.69181,             0.01548,            0.031633,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.017464,            0.046764,                   0,             0.92352,             0.87054,             0.93266,             0.70257,            0.014492,            0.029528,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.017743,            0.046151,                   0,             0.91385,             0.86273,               0.923,             0.70596,            0.014405,            0.029726,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.018181,            0.048817,                   0,             0.92988,             0.85397,             0.94713,             0.70247,            0.015091,            0.027602,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.018157,            0.047549,                   0,             0.92542,             0.87158,             0.94204,             0.69388,            0.014474,            0.027958,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.018511,            0.048585,                   0,             0.87013,             0.90758,             0.93476,             0.70953,            0.013833,            0.028397,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.017717,            0.045475,                   0,             0.90317,             0.88909,             0.93855,             0.69634,            0.015498,            0.029252,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.01772,            0.047149,                   0,             0.87954,             0.87725,             0.93009,             0.67583,            0.015444,            0.029941,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.017445,            0.045486,                   0,             0.88043,             0.90203,             0.94436,             0.72066,            0.014923,            0.028302,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.018472,            0.043559,                   0,             0.91059,             0.88725,             0.94487,             0.69826,            0.015385,            0.028325,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.018156,             0.04639,                   0,             0.91988,             0.86691,             0.93902,             0.68567,            0.015107,            0.028773,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.018451,            0.045854,                   0,             0.91347,             0.89649,              0.9441,             0.71838,            0.013924,            0.028617,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.01743,            0.046532,                   0,             0.91847,             0.85377,             0.93875,             0.71867,            0.013884,            0.028752,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.016956,            0.044527,                   0,             0.90827,             0.86506,             0.92973,             0.69934,            0.014775,            0.029898,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.017199,             0.04648,                   0,             0.90418,             0.87246,             0.93059,             0.70055,            0.013972,            0.028481,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.01726,            0.045439,                   0,             0.91961,             0.86691,             0.93075,             0.70373,             0.01424,             0.02972,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.017251,              0.0508,                   0,             0.89184,             0.89923,             0.93615,             0.71259,            0.013509,            0.028839,                   0,            0.006535,            0.006535,            0.006535
